reference_scenario,comparison_scenario,period_id,scope,group,metric,unit,n,percent_n,difference_mean,difference_median,difference_minimum,difference_maximum,difference_p10,difference_p90,percent_mean,percent_median,percent_minimum,percent_maximum,percent_p10,percent_p90,reference_p50,comparison_p50,claim_status
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,fan_electricity_kwh,kWh,5,5,693.9347198267253,706.6151066064012,662.9236170709428,713.3817367375923,668.6447016945381,711.8397660780588,7.871130376049419,8.013259564951596,7.507088528736469,8.098088967554053,7.574995478933747,8.082996946442556,8818.073355529319,9512.196983846618,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,pump_electricity_kwh,kWh,5,5,4.461808209653441,4.283320973560535,3.4730155343012257,5.8449692688419645,3.7422607956420735,5.3316241948692324,0.8014383918120419,0.7688360993214893,0.6228039550959072,1.0522565969053523,0.6713238935015171,0.9590305607942229,557.1175673645706,561.3437510447532,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,district_cooling_kwh_boundary,kWh,5,5,-913.229968310536,-943.0999189623399,-1005.2977641064281,-812.4443766553522,-986.4878019591953,-826.280595229297,-1.5133417669637557,-1.5624861613968037,-1.6625890442660984,-1.349542232137276,-1.632474785524106,-1.371640539125359,60358.92939488463,59415.82947592229,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,district_heating_kwh_boundary,kWh,5,5,4399.295519901027,4380.395723474161,4220.766103065784,4696.999210692877,4237.384583647935,4592.601229516185,12.163719709031813,12.078263329653586,11.612985126142384,13.08026227887272,11.670991202898758,12.763792364306457,36250.31628876576,40565.99566479384,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,peak_hvac_electric_kw,kW,5,5,215.18168773520884,213.35544858154395,205.33013502224287,230.36167692641715,208.06562398231853,224.0939344452135,44.33997182355338,43.399346493792606,42.64361602083327,47.99716934501252,42.92965627226904,46.51870585048983,484.621722560022,701.0445538635718,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,cooling_unmet_occupied_hours,h,5,5,0.3,0.75,-0.75,1.0,-0.5499999999999999,0.9,11.061624649859942,21.428571428571427,-15.0,33.33333333333333,-11.352941176470589,28.57142857142857,3.5,4.25,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MORNING_BANK,shoulder,building,whole_building,heating_unmet_occupied_hours,h,5,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,facility_electricity_kwh,kWh,5,5,119.40542628627445,119.16719786617068,108.47333972942761,129.49003946905395,110.4524660398227,128.28418322595425,1.257211682547735,1.254895927777259,1.1420464041243454,1.3631880230621058,1.1629514609561922,1.3505604184656645,9497.866714300886,9615.34893121885,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,fan_electricity_kwh,kWh,5,5,55.32453204066151,55.446403100710995,43.93008232550437,66.35592279645698,46.26130272674582,64.26640113868507,0.7388255693446854,0.7405995182104858,0.5866127279443374,0.8860161081779712,0.6178073029702169,0.8581297956594212,7488.770739674917,7542.13816259394,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
BASELINE_SPREAD,MIDDAY_BANK,winter,building,whole_building,pump_electricity_kwh,kWh,5,5,64.08089424561372,63.720794765462415,63.134116672596974,65.34328020927774,63.34567887428102,65.0232710871364,4.762299882335964,4.735554665833862,4.690825775602261,4.858112511560857,4.706476427958587,4.83368912781242,1345.5824979742285,1409.617837481359,DESIGN_SIZING_SENSITIVITY_NOT_FIXED_OPERATION
