scenario_id,dimension,group,seeds,spaces_supported,space_time_intervals,spaces_over_1,ratio_over_1_count,ratio_over_1_percent,ratio_over_1_5_count,ratio_over_1_5_percent,ratio_over_2_count,ratio_over_2_percent,p50,p90,p95,p99,maximum
DOUBLE_BANK,hvac_group,hvac_group_14,5,32,15360,21,4247,27.649739583333332,3758,24.466145833333332,3360,21.875,0.0,4.169324079480855,5.249115321095259,7.368717685624022,14.090774741584625
DOUBLE_BANK,region,central_sector_1,5,26,12480,18,2327,18.645833333333332,1432,11.474358974358974,838,6.714743589743589,0.0,1.6310975422870504,2.4336701063177144,7.402780388299028,9.921501323396262
DOUBLE_BANK,region,central_sector_2,5,43,20640,22,2858,13.846899224806203,2182,10.571705426356589,1572,7.616279069767441,0.0,1.5805637564516914,2.646373552897578,4.335101933242916,7.795988584350004
DOUBLE_BANK,region,northeast_pier,5,44,21120,31,4302,20.369318181818183,3365,15.932765151515152,2513,11.898674242424242,0.0,2.4670940963790855,4.01835256819297,6.570176721894244,17.49884026170601
DOUBLE_BANK,region,northwest_pier,5,47,22560,38,5162,22.881205673758863,3960,17.5531914893617,2891,12.814716312056737,0.0,2.4601188691570037,3.5787597408149034,6.30760482588065,12.935407207251382
DOUBLE_BANK,region,south_central_pier,5,19,9120,18,897,9.835526315789474,375,4.111842105263158,79,0.8662280701754386,0.0,0.9431669980404535,1.3469594400975513,1.9843454865269463,2.3812145838323358
DOUBLE_BANK,region,southeast_pier,5,51,24480,51,6612,27.009803921568626,5702,23.29248366013072,4947,20.208333333333332,0.0,4.246514733704693,5.7350363242964,10.34658416856072,49.582515017402415
DOUBLE_BANK,region,southwest_pier,5,46,22080,35,5650,25.588768115942027,4635,20.991847826086957,3737,16.92481884057971,0.0,3.4137312336056844,4.753052179312439,6.751137158900244,14.090774741584625
DOUBLE_BANK,whole_model,whole_model,5,276,132480,213,27808,20.990338164251206,21651,16.34284420289855,16577,12.512832125603865,0.0,2.5315253164374587,4.1147470718057635,7.087445588683115,49.582515017402415
EVENING_BANK,function,arrival_exit,5,6,2880,0,0,0.0,0,0.0,0,0.0,0.0,0.21344624214614424,0.2747049615019552,0.3599941439446167,0.6541073085299931
EVENING_BANK,function,baggage_claim,5,4,1920,4,340,17.708333333333336,338,17.604166666666668,331,17.239583333333332,0.1535920053835903,4.331972362298421,4.8546674903681115,5.714911783746295,8.55162537759925
EVENING_BANK,function,breakroom,5,9,4320,9,68,1.574074074074074,30,0.6944444444444444,9,0.20833333333333334,0.0,0.0,0.0,1.358989744377988,3.293645953241473
EVENING_BANK,function,central_hall,5,21,10080,21,1770,17.559523809523807,1467,14.553571428571429,1356,13.452380952380953,0.0,3.435771929202378,5.3308545945158965,7.927500158457515,11.534667075669848
EVENING_BANK,function,commercial,5,51,24480,16,863,3.525326797385621,821,3.3537581699346406,792,3.2352941176470593,0.0,0.0,0.0,10.781373122075596,59.169394781117
EVENING_BANK,function,concourse,5,15,7200,15,1354,18.805555555555557,1124,15.611111111111112,977,13.569444444444445,0.0,2.958292884348265,4.588566727133454,8.436065624469927,15.542828911095786
EVENING_BANK,function,departure_entry,5,2,960,2,245,25.520833333333332,185,19.270833333333336,170,17.708333333333336,0.5593102160888379,12.85908954639895,14.428562439616556,15.95035428158985,17.704226207598953
EVENING_BANK,function,domestic_waiting,5,63,30240,63,8247,27.271825396825395,6828,22.57936507936508,6179,20.43320105820106,0.10184623072734544,7.21435544212871,9.142314921483067,12.22457870817858,26.05928295904784
EVENING_BANK,function,international_arrival,5,13,6240,13,170,2.7243589743589745,50,0.8012820512820512,24,0.38461538461538464,0.0,0.43376653069779625,0.6837927240042759,1.4040372768771254,3.48048801211142
EVENING_BANK,function,international_hall,5,2,960,0,0,0.0,0,0.0,0,0.0,0.0,0.11842159367553266,0.1553682666790319,0.19353355366835512,0.22775649566691863
EVENING_BANK,function,office,5,65,31200,65,7689,24.644230769230766,4564,14.62820512820513,1853,5.939102564102564,0.0,1.7898067147653727,2.160682634681736,3.1314147732130406,4.623896848898278
EVENING_BANK,function,restaurant,5,22,10560,6,346,3.276515151515152,296,2.803030303030303,255,2.414772727272727,0.0,0.0,0.0,5.403610403995074,22.742800484449003
EVENING_BANK,function,transfer,5,3,1440,3,22,1.5277777777777777,0,0.0,0,0.0,0.0,0.6147830245838828,0.8081083775023048,1.0830017524977453,1.4621503656581745
EVENING_BANK,hvac_group,hvac_group_01,5,12,5760,12,1279,22.20486111111111,502,8.715277777777777,64,1.1111111111111112,0.0,1.4956790462916918,1.6602951909427444,2.2114084314234344,2.948544575231245
EVENING_BANK,hvac_group,hvac_group_02,5,14,6720,6,585,8.705357142857142,523,7.782738095238095,501,7.455357142857142,0.010439842723940286,0.7904798317540214,4.412559589890027,13.740318835414843,17.704226207598953
EVENING_BANK,hvac_group,hvac_group_03,5,2,960,2,287,29.895833333333332,124,12.916666666666668,0,0.0,0.0,1.570008865437232,1.6643132169389976,1.8840106385246793,1.8840106385246793
