scenario_id,family,scope,group,metric,n,mean,p10,p50,p90,minimum,maximum
DOUBLE_BANK,timing,function,breakroom,person_hours,30,166.28197825166671,142.27492559000004,165.69284812500007,194.85478939500007,119.29885065000003,209.87760762500005
DOUBLE_BANK,timing,function,central_hall,daily_mean_occupancy,30,469.18949771689495,469.18949771689495,469.18949771689495,469.189497716895,469.18949771689495,469.189497716895
DOUBLE_BANK,timing,function,central_hall,daily_peak_occupancy,30,1479.8319915745262,1414.7789012683086,1465.6402886134938,1558.1723822869733,1389.9968761040645,1591.0955857606025
DOUBLE_BANK,timing,function,central_hall,person_hours,30,11260.547945205479,11260.547945205479,11260.547945205479,11260.54794520548,11260.547945205479,11260.54794520548
DOUBLE_BANK,timing,function,commercial,daily_mean_occupancy,30,48.09192351598173,44.64440068493151,48.19392123287671,51.71284246575342,39.473116438356165,52.01883561643836
DOUBLE_BANK,timing,function,commercial,daily_peak_occupancy,30,244.33891119318392,204.55184888283003,239.6309409328182,273.90126905458305,181.88177539377963,355.81567225870725
DOUBLE_BANK,timing,function,commercial,person_hours,30,1154.2061643835616,1071.4656164383562,1156.6541095890411,1241.108219178082,947.3547945205479,1248.4520547945206
DOUBLE_BANK,timing,function,concourse,daily_mean_occupancy,30,184.80966324200912,181.53553652968037,185.17685502283103,188.34898401826484,177.06803652968037,191.95970319634705
DOUBLE_BANK,timing,function,concourse,daily_peak_occupancy,30,627.4769451348972,594.1775729126432,623.9883046410729,651.0808162423033,561.3511914618216,821.8373861568596
DOUBLE_BANK,timing,function,concourse,person_hours,30,4435.43191780822,4356.852876712329,4444.244520547945,4520.375616438356,4249.632876712329,4607.032876712329
DOUBLE_BANK,timing,function,departure_entry,daily_mean_occupancy,30,244.7945205479452,244.79452054794524,244.7945205479452,244.7945205479452,244.7945205479452,244.79452054794524
DOUBLE_BANK,timing,function,departure_entry,daily_peak_occupancy,30,819.4590222875281,777.0631179132189,810.4557401883949,880.3496882711256,752.7542757969337,915.3974395666487
DOUBLE_BANK,timing,function,departure_entry,person_hours,30,5875.068493150685,5875.068493150685,5875.068493150685,5875.068493150685,5875.068493150685,5875.068493150686
DOUBLE_BANK,timing,function,domestic_waiting,daily_mean_occupancy,30,4554.490629577494,4539.9671280767125,4556.457918020284,4567.023269909211,4528.089842472687,4580.1433567250515
DOUBLE_BANK,timing,function,domestic_waiting,daily_peak_occupancy,30,13119.10276581656,12860.344107467105,13077.778465276177,13363.972841961757,12664.450007968,13987.78827604895
DOUBLE_BANK,timing,function,domestic_waiting,person_hours,30,109307.77510985984,108959.2110738411,109354.99003248679,109608.55847782108,108674.1562193445,109923.44056140124
DOUBLE_BANK,timing,function,info,daily_mean_occupancy,30,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE_BANK,timing,function,info,daily_peak_occupancy,30,0.0,0.0,0.0,0.0,0.0,0.0
DOUBLE_BANK,timing,function,info,person_hours,30,0.0,0.0,0.0,0.0,0.0,0.0
