scenario_id,run_kind,period_id,scope,group,metric,n,p10,p50,p90,unit,aggregation
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,maximum_zone_sensible_cooling_interval_peak_kw,1,45.97010733864467,45.97010733864467,45.97010733864467,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,maximum_zone_sensible_heating_interval_peak_kw,1,12.658130004269566,12.658130004269566,12.658130004269566,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,outdoor_air_maximum_m3_s,1,3.8505706857494215,3.8505706857494215,3.8505706857494215,m3/s,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,outdoor_air_mean_m3_s,1,6.894390942391218,6.894390942391218,6.894390942391218,m3/s,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,outdoor_air_minimum_m3_s,1,2.5952077618842444,2.5952077618842444,2.5952077618842444,m3/s,minimum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,people_latent_gain_kwh,1,223.58829940924932,223.58829940924932,223.58829940924932,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,people_radiant_gain_kwh,1,144.4259264351204,144.4259264351204,144.4259264351204,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,people_sensible_gain_kwh,1,481.4197547837347,481.4197547837347,481.4197547837347,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,relative_humidity_maximum_percent,1,43.06651572808393,43.06651572808393,43.06651572808393,%,maximum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,relative_humidity_mean_percent,1,35.993112537972586,35.993112537972586,35.993112537972586,%,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,relative_humidity_minimum_percent,1,28.982177884486962,28.982177884486962,28.982177884486962,%,minimum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,sensible_cooling_kwh,1,1256.5601233489358,1256.5601233489358,1256.5601233489358,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,departure_entry,sensible_heating_kwh,1,56.710368418463325,56.710368418463325,56.710368418463325,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,air_temperature_maximum_c,1,24.12711222704141,24.12711222704141,24.12711222704141,C,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,air_temperature_mean_c,1,21.27060628565826,21.27060628565826,21.27060628565826,C,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,air_temperature_minimum_c,1,19.994389187467597,19.994389187467597,19.994389187467597,C,minimum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,maximum_zone_people_latent_gain_interval_peak_kw,1,20.268612656208443,20.268612656208443,20.268612656208443,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,maximum_zone_people_radiant_gain_interval_peak_kw,1,11.059996199953257,11.059996199953257,11.059996199953257,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,maximum_zone_people_sensible_gain_interval_peak_kw,1,36.866653999844196,36.866653999844196,36.866653999844196,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,maximum_zone_sensible_cooling_interval_peak_kw,1,59.53100661610544,59.53100661610544,59.53100661610544,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,maximum_zone_sensible_heating_interval_peak_kw,1,6.738519857317762,6.738519857317762,6.738519857317762,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,outdoor_air_maximum_m3_s,1,4.459392546741517,4.459392546741517,4.459392546741517,m3/s,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,outdoor_air_mean_m3_s,1,115.43096741714918,115.43096741714918,115.43096741714918,m3/s,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,outdoor_air_minimum_m3_s,1,0.2916929124869776,0.2916929124869776,0.2916929124869776,m3/s,minimum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,people_latent_gain_kwh,1,4450.95463222204,4450.95463222204,4450.95463222204,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,people_radiant_gain_kwh,1,2592.2455498489203,2592.2455498489203,2592.2455498489203,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,people_sensible_gain_kwh,1,8640.818499496401,8640.818499496401,8640.818499496401,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,relative_humidity_maximum_percent,1,44.998542300513705,44.998542300513705,44.998542300513705,%,maximum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,relative_humidity_mean_percent,1,36.1512781060724,36.1512781060724,36.1512781060724,%,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,relative_humidity_minimum_percent,1,26.54324390169304,26.54324390169304,26.54324390169304,%,minimum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,sensible_cooling_kwh,1,23708.15005448344,23708.15005448344,23708.15005448344,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,domestic_waiting,sensible_heating_kwh,1,330.36890592891166,330.36890592891166,330.36890592891166,kWh,sum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,air_temperature_maximum_c,1,25.000818608463728,25.000818608463728,25.000818608463728,C,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,air_temperature_mean_c,1,22.41772316006615,22.41772316006615,22.41772316006615,C,area_weighted_mean
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,air_temperature_minimum_c,1,19.968977350197253,19.968977350197253,19.968977350197253,C,minimum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,maximum_zone_people_latent_gain_interval_peak_kw,1,3.62931046365196,3.62931046365196,3.62931046365196,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,maximum_zone_people_radiant_gain_interval_peak_kw,1,1.595526444700404,1.595526444700404,1.595526444700404,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,maximum_zone_people_sensible_gain_interval_peak_kw,1,5.3184214823346805,5.3184214823346805,5.3184214823346805,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,maximum_zone_sensible_cooling_interval_peak_kw,1,92.74727990043219,92.74727990043219,92.74727990043219,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,maximum_zone_sensible_heating_interval_peak_kw,1,14.751482207516688,14.751482207516688,14.751482207516688,kW,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,outdoor_air_maximum_m3_s,1,6.353224592512736,6.353224592512736,6.353224592512736,m3/s,maximum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,outdoor_air_mean_m3_s,1,61.04614808693286,61.04614808693286,61.04614808693286,m3/s,sum
BASELINE_SPREAD,shoulder,shoulder,function,general_commercial,outdoor_air_minimum_m3_s,1,0.0556120269188355,0.0556120269188355,0.0556120269188355,m3/s,minimum
