source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
x-n-hall-2,terminal_hall,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-20,terminal_hall,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-3,terminal_hall,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-4,terminal_hall,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-5,terminal_hall,z-u-hall-2,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-6,terminal_hall,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-7,terminal_hall,z-u-hall-2,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-8,terminal_hall,z-u-hall-2,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall-9,terminal_hall,z-u-hall-2,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-hall21,terminal_hall,z-u-hall-2,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-office-1,office,z-u-hall-2,11,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-10,office,z-u-hall-2,9,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-11,office,z-u-hall-2,9,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-12,office,z-u-hall-2,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-13,office,z-u-hall-2,7,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-2,office,z-u-hall-2,13,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-3,office,z-u-hall-2,14,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-4,office,z-u-hall-2,17,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-5,office,z-u-hall-2,17,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-6,office,z-u-hall-2,14,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-7,office,z-u-hall-2,14,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-8,office,z-u-hall-2,13,3,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-office-9,office,z-u-hall-2,9,2,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
x-n-restroom-1,restroom,z-u-hall-2,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-restroom-2,restroom,z-u-hall-2,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
x-n-restroom-3,restroom,z-u-hall-2,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-commerce-1,commerce_retail,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-commerce-2,commerce_retail,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-commerce-3,commerce_retail,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-commerce-4,commerce_retail,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-hall-1,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-hall-2,terminal_hall,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-hall-3,terminal_hall,z-u-hall-2,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-hall-4,terminal_hall,z-u-hall-3,7,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-d-office-1,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-d-office-2,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-d-office-3,office,z-u-hall-3,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-d-office-4,office,z-u-hall-2,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-d-office-5,office,z-u-hall-3,6,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-l-commerce-1,commerce_retail,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-commerce-2,commerce_retail,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-commerce-3,commerce_retail,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-commerce-4,commerce_retail,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-commerce-5,commerce_retail,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-dining-1,dining,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-1,terminal_hall,z-u-hall-2,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-2,terminal_hall,z-u-hall-2,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-3,terminal_hall,z-u-hall-2,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-4,terminal_hall,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-5,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-6,terminal_hall,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-7,terminal_hall,z-u-hall-2,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-8,terminal_hall,z-u-hall-2,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-l-hall-9,terminal_hall,z-u-hall-2,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-commerce-1,commerce_retail,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-commerce-2,commerce_retail,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-commerce-3,commerce_retail,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-commerce-4,commerce_retail,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-commerce-5,commerce_retail,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-dining-1,dining,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-1,terminal_hall,z-u-hall-3,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-2,terminal_hall,z-u-hall-3,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-3,terminal_hall,z-u-hall-3,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-4,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-5,terminal_hall,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-6,terminal_hall,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-7,terminal_hall,z-u-hall-3,6,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-8,terminal_hall,z-u-hall-3,5,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-r-hall-9,terminal_hall,z-u-hall-3,4,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-breakroom-1,breakroom,z-u-hall-2,2,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-breakroom-2,breakroom,z-u-hall-3,2,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-commerce-1,commerce_retail,z-u-hall-2,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-commerce-2,commerce_retail,z-u-hall-3,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-1,terminal_hall,z-u-hall-2,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-10,terminal_hall,z-u-hall-3,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-11,terminal_hall,z-u-hall-2,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-12,terminal_hall,z-u-hall-3,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-2,terminal_hall,z-u-hall-2,0,0,0,0,True,declared_entrance_seed,controlled_occupancy_response_not_travel_time
z-u-hall-3,terminal_hall,z-u-hall-3,0,0,0,0,True,declared_entrance_seed,controlled_occupancy_response_not_travel_time
z-u-hall-4,terminal_hall,z-u-hall-3,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-5,terminal_hall,z-u-hall-2,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-6,terminal_hall,z-u-hall-2,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-7,terminal_hall,z-u-hall-3,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-8,terminal_hall,z-u-hall-3,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-hall-9,terminal_hall,z-u-hall-2,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-office-1,office,z-u-hall-2,2,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-10,office,z-u-hall-3,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-11,office,z-u-hall-3,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-2,office,z-u-hall-2,2,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-3,office,z-u-hall-3,2,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-4,office,z-u-hall-2,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-5,office,z-u-hall-2,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-6,office,z-u-hall-2,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-7,office,z-u-hall-2,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-8,office,z-u-hall-3,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-office-9,office,z-u-hall-3,3,1,0,0,False,staff_fixed_not_entrance_delayed,controlled_occupancy_response_not_travel_time
z-u-restroom-1,restroom,z-u-hall-2,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-restroom-2,restroom,z-u-hall-3,1,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-restroom-3,restroom,z-u-hall-2,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-restroom-4,restroom,z-u-hall-3,3,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-restroom-5,restroom,z-u-hall-2,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
z-u-restroom-6,restroom,z-u-hall-3,2,1,1,15,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
