source_space_name,category,nearest_entrance_space,adjacency_hops,flow_distance_band,flow_phase_steps,flow_phase_minutes,is_flow_entrance,phase_basis,phase_semantics
hall-1-4,terminal_hall,z-u-hall-3,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-5,terminal_hall,z-u-hall-3,9,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-6,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-7,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-8,terminal_hall,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-1-9,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-2-1,terminal_hall,z-u-hall-3,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-2-2,terminal_hall,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-2-3,terminal_hall,z-u-hall-3,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-3-1,terminal_hall,z-u-hall-3,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-3-2,terminal_hall,z-u-hall-3,16,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-3-3,terminal_hall,z-u-hall-3,15,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-4-1,terminal_hall,z-u-hall-3,14,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-4-2,terminal_hall,z-u-hall-3,13,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-4-3,terminal_hall,z-u-hall-3,12,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
hall-4-4,terminal_hall,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-1,terminal_hall,z-u-hall-2,8,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-10,terminal_hall,z-u-hall-3,11,3,3,45,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
n-hall-11,terminal_hall,z-u-hall-3,10,2,2,30,False,public_dynamic_adjacency_tercile,controlled_occupancy_response_not_travel_time
