analysis_scope,scenario_id,period_id,category,space_name,zone_name,metric,baseline,value,delta,delta_pct
seasonal_zone,public_evening,winter,terminal_hall,z-u-hall-8,zuhall8,heating_kwh,1111.4471177194416,1111.3623664507268,-0.08475126871485372,-0.007625308245771812
seasonal_zone,public_morning,winter,office,P1-7-office 1,Thermal Zone: P1-7-office 1,cooling_peak_kw,14.842168173867632,14.843299827702642,0.0011316538350101268,0.007624585719238862
seasonal_zone,public_evening,winter,terminal_hall,z-u-hall-5,zuhall5,heating_kwh,1111.8515940923621,1111.7669108677053,-0.08468322465682832,-0.0076164143764130485
seasonal_zone,entrance_2_lead,winter,commerce_retail,z-l-commerce-5,zlcommerce5,heating_kwh,1926.1713790397496,1926.3177632693341,0.14638422958455521,0.007599751049023056
seasonal_zone,entrance_2_lead,winter,commerce_retail,d-b-commerce-2,dbcommerce2,heating_kwh,182.46538485421993,182.4515208917661,-0.013863962453825707,-0.007598132908826664
seasonal_zone,entrance_3_lead,winter,office,P1-1-office 1,Thermal Zone: P1-1-office 1,heating_kwh,93.72529990823415,93.73241083765112,0.007110929416967338,0.007586990304570488
seasonal_zone,public_evening,winter,terminal_hall,n-hall-7,nhall7,heating_kwh,112.77122875841074,112.76268420538891,-0.0085445530218351,-0.007576890946306929
seasonal_zone,entrance_2_lead,shoulder,office,z-d-office-2,zdoffice2,heating_kwh,533.9145922199235,533.9549526819492,0.040360462025660127,0.007559347995687546
seasonal_zone,public_perimeter,winter,office,d-b-office-2,dboffice2,heating_kwh,380.7553521856408,380.7841291692104,0.0287769835696281,0.007557867119776591
seasonal_zone,public_evening,winter,terminal_hall,x-n-hall-11,xnhall11,heating_kwh,591.3241455718729,591.279617306377,-0.044528265495955566,-0.007530263363910505
seasonal_zone,entrance_3_lead,summer,office,x-n-office-5,xnoffice5,cooling_kwh,81.4964186981006,81.49028218730346,-0.006136510797134065,-0.007529791977567091
seasonal_zone,entrance_3_lead,shoulder,commerce_retail,P4-3-commerce 1,Thermal Zone: P4-3-commerce 1,cooling_peak_kw,48.53323909976633,48.529588736585346,-0.0036503631809807757,-0.007521367311744811
seasonal_zone,entrance_3_lead,summer,office,z-d-office-5,zdoffice5,cooling_kwh,752.164744587991,752.2212771222655,0.05653253427453819,0.007515977673947573
seasonal_zone,entrance_3_lead,shoulder,office,x-n-office-10,xnoffice10,heating_kwh,9.167261165947162,9.167947483255162,0.0006863173080002838,0.0074866123652033364
seasonal_zone,public_evening,winter,terminal_hall,z-u-hall-3,zuhall3,heating_kwh,1199.73331220642,1199.6435969382692,-0.08971526815071229,-0.0074779342407120175
seasonal_zone,public_perimeter,summer,breakroom,d-b-breakroom-1,dbbreakroom1,cooling_kwh,65.61402342384758,65.6189293823755,0.004905958527913867,0.007476996946556374
seasonal_zone,public_evening,winter,terminal_hall,n-hall-1,nhall1,heating_kwh,1669.0300449014808,1668.905264380762,-0.12478052071878665,-0.007476229747928365
